"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KIDINS220",3.80284172240572e-19,-0.194481878166526,0.17,0.29,1.01258266542497e-14
"PPP2R1A",3.945583988702e-19,0.331828789559096,0.107,0.048,1.05059064867168e-14
"TMEM259",4.13156492369199e-19,-0.424006846376275,0.132,0.226,1.10011179223147e-14
"ODF2L",4.20535080185374e-19,-0.298792834426403,0.139,0.246,1.11975875800959e-14
"LINC00662",4.60026672226645e-19,-0.32270408123356,0.089,0.181,1.22491302013789e-14
"CD74",4.8726592222336e-19,1.27935322357942,0.268,0.194,1.29744297110414e-14
"ASH1L",5.21835884275852e-19,-0.257514756911569,0.258,0.396,1.38949240906131e-14
"EPN2",5.50558662591418e-19,-0.235949673799022,0.098,0.197,1.46597255088217e-14
"STEAP4",5.51845852242397e-19,-0.319499562279482,0.119,0.224,1.46939995076583e-14
"PTN",5.69910374587342e-19,-0.246387161097709,0.25,0.398,1.51750035441372e-14
"GON4L",5.96733180849958e-19,-0.452904612945193,0.113,0.205,1.58892144064918e-14
"MORF4L1",6.20624077855037e-19,0.564866980420971,0.232,0.146,1.65253573210461e-14
"GABBR1",6.59088186310496e-19,-0.336198145337576,0.061,0.143,1.75495411368896e-14
"DNASE1",6.84659746274095e-19,-0.451492809753308,0.046,0.118,1.82304350640403e-14
"EIF2AK2",6.97846043945206e-19,-0.462682368988474,0.118,0.209,1.8581546612129e-14
"BCAP31",7.32610322957817e-19,0.221464277074516,0.1,0.043,1.95072150693978e-14
"SLIRP",7.51888722972897e-19,0.419693898961879,0.106,0.048,2.00205410265993e-14
"DNAJC9",7.7866376711823e-19,0.170081987705608,0.102,0.044,2.07334801270571e-14
"MX2",9.01366501200902e-19,-0.456691699793631,0.035,0.101,2.40006858274764e-14
"COL1A2",9.10916167443048e-19,-0.162305286382894,0.431,0.632,2.4254964790506e-14
"RUFY2",9.2120304157119e-19,-0.321422687466198,0.07,0.153,2.45288733879161e-14
"LAMTOR4",9.90679162041935e-19,0.407936433396276,0.147,0.077,2.63788140476906e-14
"RNPC3",1.06465630223879e-18,-0.331902144303398,0.176,0.289,2.83486033597123e-14
"CUTA",1.18037028458085e-18,0.340180767659964,0.134,0.067,3.14297195675342e-14
"RNF180",1.18993043479342e-18,-0.284179015758454,0.052,0.128,3.16842776872443e-14
"TANC2",1.20665653358331e-18,-0.29064631093664,0.074,0.161,3.21296435197227e-14
"GLIPR2",1.25895959006835e-18,0.153868865357651,0.105,0.046,3.352231700475e-14
"SRGAP1",1.26666595527858e-18,-0.375711453536065,0.045,0.118,3.37275143912028e-14
"PXDN",1.3509541247384e-18,-0.225217730600842,0.089,0.183,3.59718554794093e-14
"ATAD2B",1.38942071191952e-18,-0.421662906936563,0.074,0.155,3.6996105296281e-14
"EPS8",1.423666025168e-18,-0.262327929148737,0.11,0.21,3.79079552521484e-14
"SMC3",1.46773204214653e-18,0.308589441371981,0.132,0.066,3.90813010862357e-14
"PKD2",1.56150990420018e-18,-0.284871779746027,0.095,0.188,4.15783242191383e-14
"ETS1",1.66661220688838e-18,0.358411667976351,0.136,0.069,4.43768832328168e-14
"MDM4",1.79715447281621e-18,-0.269544466642895,0.216,0.342,4.78528321476771e-14
"AC003681.1",1.96371373992582e-18,-0.347063255823129,0.052,0.127,5.22878057530048e-14
"IFFO1",2.01107957643039e-18,-0.450302815203356,0.039,0.105,5.3549015881612e-14
"SEC11A",2.08745611576273e-18,0.280975555692205,0.133,0.067,5.55826939944141e-14
"EHBP1",2.2452094460382e-18,-0.415302962417544,0.061,0.137,5.97831919196592e-14
"TRMT9B",2.26330463494951e-18,-0.416333384788468,0.044,0.115,6.02650125148007e-14
"TLCD4",2.26761721878607e-18,-0.297473196044662,0.056,0.133,6.03798436846168e-14
"ZMAT3",2.34110855795231e-18,-0.406520540866121,0.098,0.188,6.23366975725962e-14
"ZMYM2",2.55847512611351e-18,-0.279982298645826,0.147,0.255,6.81245171830243e-14
"UPF2",2.63344518727615e-18,-0.446573481507008,0.124,0.216,7.01207450016021e-14
"Z83843.1",2.99532363326811e-18,-0.204798917687227,0.146,0.266,7.975648238303e-14
"MRPL41",2.99792929093106e-18,0.516776652688815,0.17,0.096,7.98258632296214e-14
"ABTB1",3.02213354915606e-18,-0.544024680652533,0.048,0.116,8.04703500133785e-14
"TRIM22",3.03352860868923e-18,-0.49217035998597,0.134,0.224,8.07737662635682e-14
"SMC4",3.091389802731e-18,0.297449666432793,0.106,0.049,8.23144362773183e-14
"ZSCAN18",3.17894030448984e-18,-0.295684429947306,0.062,0.143,8.46456434876509e-14
"SRP9",3.28425341979421e-18,0.367025340137751,0.143,0.074,8.74498158088603e-14
"ZYX",3.38664626534639e-18,0.29983776540843,0.103,0.047,9.01762301073783e-14
"ZFP36L2",3.38670935309602e-18,-0.325864921664217,0.331,0.467,9.01779099448877e-14
"KANSL1L",3.45435178712193e-18,-0.265493209372355,0.053,0.128,9.19790250356957e-14
"KCNQ1OT1",3.4706714449477e-18,-0.330903334294336,0.209,0.336,9.24135685646225e-14
"ZNF737",3.49903634530623e-18,-0.245162854690375,0.088,0.179,9.3168840766469e-14
"LTBP2",3.51841314955726e-18,-0.187056149816164,0.238,0.381,9.36847869332613e-14
"ARF1",3.77567466890955e-18,0.451933769213851,0.17,0.095,1.00534889409054e-13
"ARPC5",3.84298365752015e-18,0.564334413460752,0.191,0.116,1.02327125848789e-13
"ZNF704",3.91975696747092e-18,-0.210323143248429,0.165,0.289,1.04371368772848e-13
"EIF3F",4.59415841641549e-18,0.347100592032128,0.146,0.077,1.22328656153895e-13
"GNAI2",4.60962893910983e-18,0.550703126822115,0.19,0.114,1.22740589761678e-13
"DHRS3",4.78762868563035e-18,-0.536380407723672,0.056,0.126,1.27480189012279e-13
"YTHDC2",5.04465650626146e-18,-0.433259038393038,0.089,0.172,1.34324068792224e-13
"ARPC4",5.28091763530569e-18,0.246599839348644,0.121,0.059,1.40614993875285e-13
"RBM6",5.86201679613269e-18,-0.214632499718086,0.264,0.404,1.56087921230625e-13
"SH3D19",6.41154068769822e-18,-0.237456834780922,0.091,0.184,1.70720093891341e-13
"ENAH",6.77355531234801e-18,-0.279686682228961,0.098,0.193,1.80359457301891e-13
"TRIM8",7.13291966585496e-18,-0.457048941731224,0.097,0.181,1.8992825194272e-13
"CWF19L2",7.1476155705085e-18,-0.40532550019668,0.104,0.192,1.9031955979593e-13
"NHLRC3",7.46683753794658e-18,-0.289865296430183,0.099,0.19,1.98819483122904e-13
"ZNF891",7.76898165803762e-18,-0.340539231696559,0.058,0.133,2.06864674608568e-13
"PTGIS",7.86251578366639e-18,-0.165632222444571,0.163,0.286,2.09355207771685e-13
"LRRK2",7.95693757110512e-18,-0.345272963288492,0.056,0.131,2.11869376705816e-13
"YWHAE",8.79223823322255e-18,0.564746878020801,0.185,0.109,2.34110927436017e-13
"KANTR",8.88305907036979e-18,-0.406911204729414,0.048,0.119,2.36529213866736e-13
"CCT3",9.22138314678038e-18,0.31777950466087,0.109,0.051,2.45537769049321e-13
"ARMCX4",9.24670689389001e-18,-0.27975023643861,0.036,0.103,2.46212064463609e-13
"ADAR",9.55228101310398e-18,-0.388297853203456,0.15,0.246,2.5434858653592e-13
"DNAJC15",9.5607876551021e-18,0.348674254499177,0.123,0.061,2.54575092892404e-13
"ABHD17A",9.76570798457323e-18,0.282721110605119,0.126,0.063,2.60031506505232e-13
"CDC42BPA",9.95340989428525e-18,-0.17133987128682,0.11,0.211,2.65029445255133e-13
"DCTN2",1.05547894640627e-17,0.241219176707687,0.103,0.047,2.81042379059596e-13
"SEC24D",1.16130442429125e-17,-0.37827301627154,0.059,0.132,3.09220529056032e-13
"SREK1",1.2024906038991e-17,-0.398418337184219,0.183,0.285,3.20187173100215e-13
"ABCA5",1.21774970432757e-17,-0.321753023910255,0.077,0.159,3.24250213771303e-13
"POGZ",1.23873576177277e-17,-0.323105446791911,0.132,0.231,3.29838171287237e-13
"SH3BGRL",1.35169501223572e-17,0.312907587352697,0.118,0.058,3.59915830908006e-13
"APOD",1.38582797727691e-17,-0.290568783635357,0.056,0.131,3.69004415509522e-13
"VDAC3",1.41841733311243e-17,0.369333419430049,0.144,0.076,3.77681983287847e-13
"SLIT2",1.49327606039097e-17,-0.249235028159691,0.057,0.134,3.97614616600303e-13
"BTG2",1.62813291661096e-17,-0.577850964531166,0.149,0.237,4.33522951706e-13
"CCDC84",1.64331319150902e-17,-0.305314147157853,0.067,0.144,4.37565003503106e-13
"RHOC",1.74578415582277e-17,0.318989345295453,0.114,0.055,4.6484994717093e-13
"U2SURP",1.9088750837631e-17,-0.388302517564114,0.2,0.303,5.08276168553601e-13
"TTN-AS1",1.9511013028582e-17,-0.26576563087742,0.091,0.181,5.19519743912052e-13
"RSL24D1",1.97452836233165e-17,0.330543634814072,0.101,0.046,5.2575766703805e-13
"DDOST",2.01805776685169e-17,0.191089191473009,0.11,0.052,5.37348241579599e-13
"ING5",2.08442658649357e-17,-0.439385339235125,0.067,0.141,5.55020267185642e-13
"STAT2",2.27126432360934e-17,-0.327225250262465,0.091,0.175,6.04769551447459e-13
"ZKSCAN1",2.45413288594972e-17,-0.278682967280351,0.168,0.281,6.53461963541833e-13
"ESF1",2.46852691135792e-17,-0.429380740316296,0.069,0.145,6.57294660687272e-13
"RTRAF",2.62756312844305e-17,0.305416219546545,0.143,0.076,6.99641234210531e-13
"FNDC3B",2.73404995845647e-17,-0.240141857323503,0.16,0.271,7.27995482438204e-13
"IGSF10",3.42787584818255e-17,-0.297368437230734,0.062,0.139,9.12740502095569e-13
"PDCD6IP",3.48623020540369e-17,-0.421837917316425,0.113,0.199,9.28278516792841e-13
"PNRC2",3.50935163535846e-17,0.381186360382147,0.13,0.067,9.34435059946898e-13
"SGCE",3.64457798087369e-17,-0.194920228432368,0.094,0.184,9.70441778967236e-13
"ANKRD10-IT1",3.65102305123227e-17,-0.293251950333143,0.044,0.112,9.72157907851616e-13
"PILRB",3.83052168290707e-17,-0.353553918553736,0.068,0.144,1.01995300850767e-12
"USP34",3.83956429207333e-17,-0.281143136310094,0.187,0.297,1.02236078405036e-12
"C9orf78",3.91399061684213e-17,0.158771397791803,0.104,0.048,1.04217828154655e-12
"SPG7",4.30020360216385e-17,-0.28018809134107,0.14,0.242,1.14501521314817e-12
"PAIP2",4.33546704309714e-17,0.290579895506293,0.122,0.061,1.15440480956547e-12
"NNMT",4.38831015317185e-17,-0.211593950350304,0.065,0.144,1.16847534448507e-12
"NUMA1",4.4799843626939e-17,-0.401665548050115,0.139,0.23,1.1928854362545e-12
