"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RAB5B",0.670345484625176,-0.101407860474199,0.17,0.184,1
"PRRC2A",0.670365723363203,-0.133861500093877,0.234,0.224,1
"ZBTB7A",0.670790259067856,-0.255860421436161,0.338,0.334,1
"VPS37A",0.671756561513184,-0.129143760943678,0.128,0.12,1
"NMT2",0.67284299104102,0.110428982947789,0.11,0.104,1
"GNB2",0.673606104780572,-0.256941816071014,0.484,0.466,1
"CEP192",0.675647060581592,-0.221219707510266,0.116,0.107,1
"UBA6",0.676590123743395,-0.252848644613681,0.211,0.199,1
"SSR1",0.677093920647695,-0.135102969576153,0.443,0.451,1
"DENND10",0.678015017320662,-0.12765822060845,0.14,0.132,1
"SEC23B",0.679960684802713,-0.1526682760979,0.242,0.255,1
"MANF",0.680342365165622,-0.131768946005782,0.45,0.451,1
"HERPUD1",0.683544677935513,-0.191178015587884,0.695,0.629,1
"FBXO34",0.683935862144897,-0.397624741604603,0.16,0.163,1
"PIGG",0.684563419386564,-0.138947011906158,0.096,0.104,1
"ILRUN",0.684845634907766,-0.236878229793895,0.136,0.126,1
"ITCH",0.686826815038424,-0.175333599169152,0.261,0.273,1
"RBBP5",0.687866780326057,-0.204494437150908,0.136,0.144,1
"EPN2",0.68926713025598,-0.110811362981741,0.103,0.11,1
"SLC39A7",0.689300786623342,-0.175390714709119,0.247,0.27,1
"PJA2",0.690290100416081,-0.156566289081005,0.472,0.445,1
"NFE2L3",0.69066086976645,0.140516334147281,0.157,0.175,1
"UBA5",0.690809432908491,-0.131247083493856,0.217,0.23,1
"POLR2A",0.691223739020881,-0.243383535162526,0.333,0.313,1
"FGD3",0.693445030716319,-0.455238578616672,0.128,0.113,1
"NEK6",0.695408172495159,-0.167931393432854,0.171,0.156,1
"FAM30A",0.695587989221004,-0.153956985953325,0.174,0.163,1
"PLCL2",0.696277888957776,-0.150709930580897,0.158,0.169,1
"MED13",0.696558812804748,-0.357958695102159,0.186,0.196,1
"P2RY10",0.697503704492064,-0.252622720253277,0.204,0.218,1
"ANKZF1",0.697804396182945,-0.225444418675902,0.128,0.135,1
"WDR45",0.698203850919952,-0.162739658981555,0.289,0.301,1
"LINC00342",0.698839181903471,-0.11476153059599,0.125,0.132,1
"OTUD6B-AS1",0.700348698468,-0.121412104693525,0.301,0.291,1
"ACP5",0.700439668624992,0.108175991574643,0.163,0.163,1
"MCM3AP",0.700967843125623,-0.22903533704678,0.166,0.153,1
"DPEP2",0.701529830698644,-0.372007216239933,0.107,0.095,1
"PSEN1",0.701779846120129,-0.210166757417553,0.142,0.132,1
"RBM23",0.703150749344739,-0.304264178066011,0.205,0.193,1
"TEC",0.704399386053022,0.240248006722705,0.109,0.123,1
"UPF2",0.705175755082756,-0.34616601628058,0.359,0.365,1
"HCG18",0.705393450739369,-0.153097204731615,0.233,0.221,1
"ZMIZ2",0.705461081415874,-0.122144990694894,0.148,0.16,1
"SLC16A7",0.706201287465396,0.104838779305926,0.126,0.123,1
"CD46",0.707129981664351,-0.189354142641293,0.518,0.5,1
"HLA-E",0.70730355512321,-0.2568972994329,0.802,0.794,1
"BANP",0.707628623512889,-0.153795494215717,0.132,0.123,1
"TP53INP1",0.707893050591105,-0.339344254051078,0.317,0.316,1
"HPS4",0.70895695615108,-0.140167332931986,0.128,0.123,1
"ARFGAP3",0.712845188803514,-0.310728483698378,0.41,0.411,1
"ZXDC",0.712851055830222,-0.192864106176633,0.102,0.11,1
"SMAP2",0.713850803418427,-0.445820399316909,0.544,0.537,1
"CCNL2",0.713949385292374,-0.171789587208223,0.257,0.242,1
"CDK13",0.715292984528157,-0.23909001372847,0.257,0.242,1
"STIM1",0.715717535294378,-0.164299127170703,0.119,0.126,1
"PIGX",0.715921123648102,-0.114363313138649,0.117,0.11,1
"ZNF91",0.716901035798042,-0.122865880991348,0.184,0.202,1
"SRI",0.720877352376116,-0.330672548502588,0.415,0.405,1
"PRKD2",0.721442634277041,-0.288510866689991,0.172,0.184,1
"MAPK8IP3",0.72177534952587,-0.238143454565613,0.115,0.123,1
"CRK",0.721924310606642,-0.2407616789322,0.163,0.153,1
"SSPN",0.723405038886419,-0.173898461292652,0.115,0.11,1
"MIER1",0.723860854504262,-0.301152722582085,0.345,0.331,1
"TAOK1",0.72387869683628,-0.294661774187872,0.167,0.175,1
"IKBKG",0.726927628586761,-0.181347349785261,0.112,0.104,1
"PSD4",0.729051852073959,-0.297023357641321,0.146,0.138,1
"DUS1L",0.730448434746992,-0.105269829125942,0.333,0.334,1
"STX11",0.730582097118176,-0.146946459195511,0.218,0.209,1
"TMED5",0.731754852752597,-0.224192601072875,0.44,0.417,1
"GPR65",0.731900804907442,-0.702275189323323,0.395,0.334,1
"NCOA7",0.73241192890502,-0.113719789007927,0.231,0.239,1
"MEF2D",0.732598460659068,-0.165115552151349,0.251,0.261,1
"MACF1",0.737008020677018,-0.530646843135325,0.35,0.34,1
"MCTP2",0.738240439195506,-0.23307365960695,0.182,0.19,1
"GOLGA3",0.738452085933955,-0.240291016893334,0.221,0.227,1
"ZZEF1",0.739280349292291,-0.314502796146565,0.16,0.166,1
"DGKD",0.740937822482075,-0.53497227734059,0.19,0.172,1
"EEF2K",0.743727592902679,-0.150170551518946,0.136,0.126,1
"SETD3",0.744075590140152,-0.19863658883789,0.165,0.16,1
"MYO1G",0.744544139527878,-0.264565542994394,0.162,0.147,1
"YPEL5",0.744927150039387,-0.156905640181184,0.548,0.525,1
"TBC1D20",0.745374745306375,-0.188703258057069,0.147,0.138,1
"AZI2",0.745386931608279,-0.278465295113418,0.173,0.163,1
"TPRG1L",0.746418439471637,-0.141041366826811,0.158,0.153,1
"BIRC2",0.746839877782439,-0.253496727687654,0.227,0.218,1
"TLE4",0.746950548252416,-0.597614781353449,0.302,0.294,1
"PWWP3A",0.750432028901243,-0.113866448792043,0.118,0.126,1
"NFX1",0.75065996815794,-0.150982584112439,0.263,0.273,1
"CYFIP2",0.751772194138613,-0.173933946128428,0.218,0.209,1
"DALRD3",0.753443556293606,0.106759017863717,0.109,0.107,1
"POLR2B",0.754243338421805,-0.178020761688744,0.213,0.209,1
"ANKRD36C",0.754770580420793,-0.242953161984291,0.201,0.206,1
"TES",0.755044750485118,-0.373742539088439,0.247,0.255,1
"RRP12",0.758485595290741,0.116122783596553,0.105,0.101,1
"GLS",0.760096898473069,-0.221348102595666,0.53,0.5,1
"CDK2AP2",0.760827258498876,-0.130366036525448,0.468,0.475,1
"TXN",0.763132244126527,-0.220270253308438,0.6,0.564,1
"USP46",0.763771884074703,-0.219668114412823,0.096,0.101,1
"METTL9",0.765397906290669,-0.536004916456036,0.362,0.362,1
"AP2B1",0.765525303317707,-0.203036632343945,0.208,0.215,1
"FMNL1",0.767268487535702,-0.550219321873808,0.364,0.356,1
"DENND4A",0.768085214146774,-0.284109119037768,0.192,0.196,1
"EPS15",0.768787281699861,-0.128529501149171,0.32,0.337,1
"ARMC10",0.769761027282838,-0.119689340330124,0.204,0.199,1
"FAM120AOS",0.771315431300352,-0.122314235832749,0.231,0.227,1
"RHBDD2",0.771796359815953,-0.39151982549008,0.206,0.209,1
"AKAP13",0.774082831649588,-0.304123897848254,0.633,0.595,1
"TIPARP",0.774783579167226,-0.15822382383969,0.3,0.304,1
"PTOV1",0.776059615895065,-0.143107638143687,0.286,0.298,1
"ATP11B",0.778437488996747,-0.156927689420292,0.235,0.245,1
"ST8SIA4",0.779089356976445,-0.247956923948963,0.301,0.31,1
"JMY",0.779095495554869,-0.168423590480073,0.185,0.181,1
"DYRK1A",0.780454673229783,-0.233576456240025,0.205,0.215,1
"RPS6KB1",0.782880768665343,-0.149487599271343,0.119,0.126,1
"SUPT7L",0.783228102718773,-0.10344910996594,0.107,0.113,1
"TBC1D10B",0.783321572689358,0.120442470111992,0.1,0.098,1
"VPS13A",0.783839672058973,-0.263537002437347,0.21,0.218,1
"BOLA2",0.786531152796274,-0.100499838144804,0.206,0.215,1
"BSDC1",0.787960350380808,-0.117188337760667,0.155,0.166,1
"EMD",0.790222734440914,-0.132137716414532,0.417,0.417,1
"MAP1LC3B",0.790868229968369,-0.273202588632171,0.585,0.564,1
"KMT2E",0.791118012101911,-0.237746624305996,0.566,0.555,1
"SORL1",0.791392852939913,-0.943244008732785,0.253,0.215,1
"SPPL2A",0.791492701057576,-0.34509694442679,0.23,0.221,1
"ERO1A",0.791933700857294,-0.176111853099949,0.22,0.23,1
"TMEM127",0.796284749340638,-0.179444398411243,0.136,0.129,1
"DOCK11",0.796310778341248,-0.245135283971747,0.175,0.166,1
"IP6K1",0.797364816357922,-0.124766582671087,0.122,0.117,1
"POR",0.797785137670397,-0.192325104260853,0.121,0.126,1
"HSPA8",0.79845693480354,-0.176741603284699,0.808,0.752,1
"BCL2L13",0.798618928448011,-0.125322743021572,0.133,0.126,1
"COQ10B",0.799458670988069,-0.187723599192828,0.208,0.206,1
"SLC9A3R1",0.801804523423941,-0.146456399250374,0.356,0.347,1
"RRBP1",0.804871993439581,-0.226716555568426,0.531,0.518,1
"MSL1",0.806421989105621,-0.285021956326456,0.184,0.178,1
"ETS1",0.809434105533204,-0.775410699846478,0.3,0.279,1
"ITGB1",0.810545302147508,-0.240087523132203,0.425,0.411,1
"RALGAPA1",0.813989953943675,-0.234886073583944,0.306,0.307,1
"RBM33",0.815686238927129,-0.236102482364475,0.315,0.322,1
"SLC27A3",0.817018714400735,-0.169879310244686,0.11,0.104,1
"NPEPPS",0.8170221176225,-0.379930707411148,0.248,0.248,1
"EREG",0.818073205095321,-0.867643814739182,0.136,0.132,1
"SUPT6H",0.81808402348404,-0.285935128074656,0.266,0.258,1
"RETREG3",0.818654705586942,-0.12284121729416,0.103,0.098,1
"DDX6",0.81937257754771,-0.224666912475239,0.467,0.454,1
"PLIN2",0.820508428704334,-0.67326372358827,0.344,0.322,1
"AC087239.1",0.821487702834183,-0.172842521500698,0.114,0.11,1
"FARP2",0.821526919476075,-0.11734601077941,0.11,0.113,1
"UBQLN1",0.821676010022425,-0.10052061291466,0.31,0.307,1
"TBC1D7",0.822071035086518,-0.17440348852673,0.117,0.12,1
"AKT1",0.822257781888776,-0.184730368994135,0.228,0.236,1
"PRKAA1",0.822913526343655,-0.170644151749806,0.164,0.172,1
"HSBP1L1",0.824483048248426,-0.166885594217059,0.109,0.104,1
"FAM13B",0.824560373776631,-0.196023745824875,0.188,0.181,1
"CUL4A",0.827441120331703,-0.239586931214823,0.15,0.153,1
"KLF9",0.828322393415778,-0.247855611410592,0.113,0.107,1
"RAB8B",0.828821218941469,-0.36590247986506,0.277,0.273,1
"ZNF654",0.832139151612633,-0.12619400988046,0.105,0.101,1
"RNF213",0.833198573048431,-0.34612791727122,0.434,0.42,1
"NOC2L",0.833528451805819,-0.273555730638618,0.152,0.147,1
"NFAT5",0.834039333974332,-0.156505341935403,0.22,0.215,1
"SOD2",0.834261140531284,-0.602110149412496,0.456,0.423,1
"HECTD1",0.83582555987552,-0.196382581210652,0.272,0.282,1
"GTPBP1",0.837747105315256,-0.270398485486758,0.2,0.199,1
"KMT2C",0.839082438308689,-0.190584147369865,0.376,0.368,1
"POU2AF1",0.841913293521057,-0.12283051040149,0.316,0.325,1
"THADA",0.842110043532142,-0.192443667849987,0.1,0.104,1
"BACH1",0.842378438380122,-0.145124826129188,0.325,0.322,1
"SULF2",0.842431710298621,-0.328606290860179,0.188,0.169,1
"DCAF12",0.842914633374194,-0.167511347109777,0.142,0.144,1
"DMAP1",0.844439134925146,-0.122926076363996,0.138,0.138,1
"FNBP1",0.845464179634496,-0.24167510722469,0.441,0.451,1
"CXCL2",0.847447443817975,-0.692458077210506,0.19,0.169,1
"SMIM27",0.847460722355818,-0.183301082579973,0.151,0.153,1
"MZB1",0.849829358413203,0.532188326536226,0.485,0.546,1
"RABGAP1L",0.850852895926367,-0.119298119246204,0.316,0.304,1
"CCND3",0.852108660906264,-0.186663921279969,0.308,0.301,1
"LCORL",0.852268297165303,-0.140610715553368,0.244,0.245,1
"WIPF2",0.852936307421337,-0.1456288765131,0.126,0.123,1
"AGO3",0.85336679475929,-0.217326664729115,0.179,0.178,1
"TMEM131",0.853642915204386,-0.435362379046957,0.29,0.291,1
"MBD1",0.855618872988375,-0.125419645998808,0.152,0.153,1
"PRKCSH",0.855884137334189,-0.184836984265071,0.365,0.38,1
"NUMB",0.862139476059081,-0.329881015124384,0.246,0.248,1
"WTAP",0.862725056362172,-0.261853984268403,0.41,0.408,1
"BPTF",0.867370208939311,-0.318336417981112,0.47,0.469,1
"USO1",0.867455006483974,-0.140936995384139,0.343,0.337,1
"ERC1",0.867503696300424,-0.200652021715362,0.212,0.202,1
"EPB41",0.867918133345812,-0.374588876858771,0.28,0.276,1
"B4GALT3",0.869118738762315,-0.103579818433758,0.266,0.267,1
"PRPSAP1",0.869224147321038,-0.128038547840324,0.131,0.135,1
"BRD4",0.869440653815631,-0.207395869276893,0.413,0.399,1
"FAM172A",0.869559256904914,0.124533913557873,0.127,0.129,1
"HELB",0.869703959705625,-0.351573351471424,0.115,0.117,1
"STK38L",0.870701199857678,-0.155269689264993,0.158,0.153,1
"PIK3R1",0.87149457628837,-0.346770045410807,0.344,0.344,1
"STK4",0.872137928785579,-0.311556863604165,0.562,0.534,1
"PCMTD1",0.874117136675993,-0.20870793583924,0.438,0.436,1
"HBS1L",0.874208317787387,-0.106400726302386,0.215,0.227,1
"PSPC1",0.875695068172114,-0.141396332109928,0.186,0.187,1
"NSD1",0.875960630427901,-0.231235764095684,0.263,0.258,1
"TMEM154",0.876299298739652,-0.532672466481425,0.287,0.282,1
"DPH3",0.880254295775419,-0.144266780010003,0.14,0.144,1
"PPP1R7",0.881219209362288,-0.120965050204196,0.25,0.255,1
"FAM207A",0.884402924311244,-0.402721054470739,0.132,0.135,1
"CFL2",0.884440546677247,-0.121449960509441,0.141,0.141,1
"SEC24B",0.88855980939562,-0.1361468671333,0.137,0.135,1
"FAM110A",0.890030942946172,-0.791820466238321,0.17,0.153,1
"METRNL",0.891961144451322,-0.774690729651995,0.326,0.285,1
"STT3B",0.892208305864051,-0.1822697241927,0.396,0.393,1
"STARD7",0.892917705310407,-0.122082820357928,0.299,0.301,1
"HGS",0.893563646134899,-0.222341749046244,0.143,0.138,1
"AC092683.1",0.894830154734003,-0.108492490320948,0.106,0.107,1
"ITGAL",0.895127032215153,-0.154658453071237,0.161,0.156,1
"FNDC3A",0.896630085053073,-0.133725153041577,0.436,0.439,1
"RBM3",0.896747499210868,-0.123610244197002,0.549,0.552,1
"VASP",0.897657922348379,-0.505392105439998,0.325,0.313,1
"PRKCD",0.898295169509762,-0.438393257593346,0.26,0.261,1
"LONP2",0.898815827168194,-0.217879563648155,0.267,0.267,1
"BORCS5",0.900044043145949,-0.141315421933407,0.21,0.209,1
"MAP4K5",0.902469409581729,-0.319569448665165,0.205,0.199,1
"ST3GAL1",0.903134505833846,-0.185400847265731,0.176,0.178,1
"RCOR3",0.903970572011158,-0.11536528832864,0.151,0.153,1
"NPLOC4",0.904219060362287,-0.270119417161659,0.152,0.147,1
"ZMYM2",0.904255873310892,-0.326064762702954,0.254,0.245,1
"PHACTR4",0.904609180987535,-0.181022744517271,0.194,0.19,1
"PDLIM5",0.90512419710614,-0.341807085808456,0.211,0.212,1
"SRRT",0.909407745547563,-0.187698004551939,0.202,0.202,1
"GLO1",0.911637853297051,-0.140194395525093,0.33,0.334,1
"PCM1",0.912036014306692,-0.359955624024106,0.407,0.414,1
"CLN3",0.915827632069406,-0.155340542251511,0.165,0.16,1
"AUH",0.916315588730609,-0.104242759229438,0.118,0.117,1
"MDM2",0.916390343379074,-0.216393020917612,0.241,0.245,1
"VRK1",0.918295974410331,-0.146497879181296,0.106,0.104,1
