"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CCNL1",6.04590878909055e-31,-0.667973930130565,0.145,0.345,1.60984413327114e-26
"FAM153CP",7.03901741462722e-31,-0.424104749492225,0.019,0.104,1.87427916699279e-26
"JUNB",9.83439818795187e-31,-0.722710205133319,0.046,0.166,2.61860520550595e-26
"PLN",1.22300853521375e-30,0.755348272683927,0.633,0.476,3.25650482671364e-26
"ATP5F1E",1.62869920567394e-30,1.12308270600067,0.443,0.219,4.33673737494799e-26
"ANKRA2",2.03017297908793e-30,-0.421005386511285,0.026,0.121,5.40574159141742e-26
"RPL32",2.23543401996104e-30,0.889056721195112,0.481,0.248,5.95229016495025e-26
"MYH6",3.88011932601408e-30,0.483187883650424,0.897,0.719,1.03315937293777e-25
"MYL9",6.41335309654977e-30,0.888899253673395,0.533,0.334,1.70768352901831e-25
"FSTL3",9.56817396035875e-30,-0.457993170569743,0.025,0.118,2.54771768042472e-25
"SMYD4",1.02485673017935e-29,-0.409810696044116,0.034,0.14,2.72888601544856e-25
"GOLGA8A",1.12037973062386e-29,-0.586120049869791,0.099,0.267,2.98323510873215e-25
"SLC25A37",2.753206150086e-29,-0.680771489482381,0.158,0.356,7.33096201583398e-25
"SNRNP70",2.88921913730607e-29,-0.620135102225381,0.219,0.445,7.69312379690488e-25
"RPL26",4.11062413765628e-29,1.14690204594069,0.438,0.221,1.09453588913374e-24
"RPS12",8.65614628420572e-29,0.871582750588954,0.474,0.254,2.30487207109546e-24
"FTH1",8.92636093489421e-29,0.604302826029536,0.639,0.472,2.37682212613428e-24
"MYH7",9.61025611362256e-29,1.00815054102054,0.543,0.353,2.55892289537428e-24
"ADAM33",1.49222439938377e-28,-0.800782415191358,0.021,0.104,3.97334590823917e-24
"WDR73",1.97009318763213e-28,-0.365716720106401,0.088,0.246,5.24576713070809e-24
"GABPB2",2.68311963947295e-28,-0.449731591898275,0.099,0.265,7.14434266402462e-24
"ECHDC2",2.93970508251477e-28,-0.713610676716176,0.187,0.391,7.82755272321207e-24
"HOOK2",3.798755022166e-28,-0.462336024390773,0.067,0.203,1.01149449975214e-23
"RPS18",3.99109306858134e-28,1.0547806647484,0.446,0.23,1.06270835137115e-23
"RPL35A",5.18833624579757e-28,1.08391470762691,0.418,0.205,1.38149829216852e-23
"TNRC6A",5.30473380765791e-28,-0.590540636789599,0.188,0.404,1.41249147096507e-23
"MICU3",6.00356196303398e-28,-0.362527642181202,0.035,0.139,1.59856844389706e-23
"RHOT2",6.07625120536351e-28,-0.463221098506963,0.059,0.188,1.61792340845214e-23
"COX5B",6.16215873022201e-28,1.16960850451135,0.436,0.235,1.64079800509621e-23
"CCN1",6.62506540285442e-28,-1.30470173003703,0.035,0.137,1.76405616481805e-23
"VEGFA",9.32569640416647e-28,-0.622034973433626,0.12,0.292,2.48315318153741e-23
"FNBP4",1.88298676400365e-27,-0.575073006991361,0.207,0.42,5.01382885651253e-23
"TSIX",2.07685293189027e-27,1.57103542243574,0.173,0.008,5.53003630174422e-23
"TPT1",2.22295624097784e-27,0.630903388172453,0.615,0.438,5.91906558285169e-23
"SPG7",2.84906358445095e-27,-0.473035722831494,0.142,0.33,7.58620160631755e-23
"RPL19",3.50485697177202e-27,1.13670406946438,0.415,0.203,9.33238265873735e-23
"RPLP2",3.58809378932661e-27,1.11406403473854,0.401,0.192,9.55401733283996e-23
"CCDC66",3.79106465671077e-27,-0.555136765881468,0.082,0.227,1.00944678614238e-22
"RPS27A",4.15488959103387e-27,0.872814742887729,0.468,0.257,1.10632245140459e-22
"ANKRD26",4.35872590635236e-27,-0.518449579555971,0.08,0.224,1.16059794708444e-22
"TTLL3",6.29413112149476e-27,-0.567780623943448,0.059,0.185,1.67593829372041e-22
"PTGDS",6.35984481624059e-27,1.14191393749299,0.483,0.312,1.69343587922038e-22
"RPL10",6.40647259500654e-27,0.929943014685128,0.569,0.402,1.70585145787239e-22
"CFH",7.71756980784263e-27,-0.865439005592495,0.137,0.312,2.05495731273426e-22
"SETD5",8.12630874799797e-27,-0.513054233780826,0.096,0.251,2.16379223032942e-22
"LINC01128",9.75360986053496e-27,-0.362916939777712,0.076,0.218,2.59709369756464e-22
"EEF1A1",1.12694131278524e-26,0.782914923395119,0.603,0.435,3.00070663355325e-22
"FAU",1.4574418430429e-26,1.04690616469797,0.413,0.208,3.88073039547033e-22
"ABCA6",1.47833504776457e-26,-1.01517649328882,0.158,0.331,3.93636273168273e-22
"WDR60",2.12426172946642e-26,-0.569165411444089,0.199,0.41,5.65627170705024e-22
"TAF1D",2.19956361213219e-26,-0.637009251533153,0.127,0.297,5.8567780300244e-22
"COX7B",2.91810183492762e-26,1.06227006865531,0.376,0.167,7.77002975586177e-22
"SLC35E3",4.37228587065954e-26,-0.571986793308892,0.049,0.162,1.16420855878052e-21
"RPL21",6.30922515125472e-26,0.85611029590745,0.502,0.311,1.67995738102459e-21
"RPS13",7.21737761581446e-26,0.947970274929638,0.414,0.202,1.92177113776292e-21
"GLS",8.25822418709161e-26,-0.538572400443689,0.174,0.371,2.19891735429688e-21
"ANKRD10",1.02990700360917e-25,-0.482710080691232,0.087,0.232,2.74233337851014e-21
"STAT3",1.14550973811144e-25,-0.495342881594258,0.106,0.263,3.05014877966932e-21
"RPS25",1.86150792072668e-25,0.921787056743463,0.411,0.205,4.95663714051893e-21
"ARHGAP21",3.06338909992521e-25,-0.525855102401438,0.134,0.308,8.15688615637085e-21
"CBFA2T2",4.33298259892615e-25,-0.535830178249199,0.034,0.128,1.15374327661607e-20
"Z85996.3",4.36756107331433e-25,-0.870831014165518,0.113,0.262,1.16295048699141e-20
"AC005342.1",4.41059748720097e-25,-0.407179667642452,0.051,0.164,1.174409792917e-20
"TTC23",4.55019837468986e-25,-0.217720760101455,0.034,0.131,1.21158132122867e-20
"NPHP3",4.61954278067097e-25,-0.467732515726219,0.111,0.273,1.23004565620926e-20
"TMEM63A",5.1700409638705e-25,-0.390545849363678,0.049,0.161,1.3766268074498e-20
