"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MGST3",2.20601548362174e-07,0.111687601006689,0.379,0.356,0.00587395742823961
"CDC73",2.39635224140518e-07,-0.136172301200565,0.253,0.28,0.00638076711318958
"MBNL1",2.47428966290552e-07,-0.137428992792606,0.73,0.752,0.00658829108541852
"CCNT2",2.48784468318559e-07,-0.111244159619699,0.147,0.172,0.00662438403791827
"CBFA2T2",2.64088456399142e-07,-0.121264768914924,0.092,0.113,0.00703188332853996
"CCND2",2.79877619863372e-07,-0.143801969061302,0.304,0.334,0.00745230138410201
"ZYX",2.95153744700102e-07,0.148683277892804,0.506,0.483,0.00785905876012962
"CCRL2",2.9581996571202e-07,-0.149720960099349,0.107,0.083,0.00787679822701396
"MTREX",3.06771374795272e-07,-0.101892276270109,0.125,0.148,0.00816840139667372
"PPP1R2",3.22864605644824e-07,-0.120381782006567,0.44,0.471,0.00859691585450473
"METTL26",3.47238210568387e-07,0.113279214653215,0.309,0.284,0.00924591183280443
"PPM1G",3.51189404498633e-07,0.107731019051218,0.382,0.36,0.00935112027358511
"ANKRD13D",3.54298068320373e-07,-0.129930200912337,0.267,0.299,0.00943389466516657
"IRF3",3.64157559867276e-07,-0.123204085624392,0.238,0.269,0.00969642334658597
"TCF12",3.6422103373031e-07,-0.124281530682677,0.176,0.201,0.00969811346513697
"ESCO1",3.6809045215387e-07,-0.143774782096041,0.167,0.191,0.0098011444695011
"ANXA1",3.84085525469113e-07,-0.205212188558924,0.823,0.802,0.0102270452866661
"ATL3",3.90565888247604e-07,-0.100556844227695,0.147,0.171,0.0103995979063689
"SSNA1",4.08977232935242e-07,0.120604514598462,0.319,0.296,0.0108898367813667
"USP33",4.18328131715577e-07,-0.127817062428693,0.225,0.253,0.0111388231631907
"CEP164",4.49813564842394e-07,-0.165652955921348,0.102,0.122,0.0119771857910584
"MDM2",4.61173604236573e-07,-0.151342135792069,0.165,0.19,0.0122796695600072
"SIT1",4.91246576371312e-07,0.198613049358388,0.302,0.293,0.0130804225890389
"TMEM134",5.21205262807886e-07,0.111519468302967,0.209,0.186,0.0138781325327856
"ATXN2",5.29983372447887e-07,-0.177365446491354,0.145,0.168,0.0141118672581699
"GPSM3",5.4298574632235e-07,0.104076119710355,0.654,0.619,0.0144580814673252
"DLG1",5.66796623049211e-07,-0.143910610830358,0.14,0.163,0.0150920936819313
"OTULIN",5.7430863530648e-07,-0.145984539365412,0.155,0.178,0.0152921160323056
"NEK9",6.28650967171469e-07,-0.106426166170866,0.112,0.134,0.0167390893028747
"SETD5",6.34054221173513e-07,-0.18545465122537,0.196,0.221,0.0168829617471871
"ZNF791",6.7442512749505e-07,-0.125210938699147,0.131,0.154,0.0179579178698107
"MSH3",6.98609176579899e-07,-0.10132803379132,0.106,0.127,0.018601866544793
"PIAS1",7.07424610788335e-07,-0.154519128365292,0.27,0.297,0.018836595111461
"MRPS5",7.12506337207723e-07,-0.115507679835495,0.23,0.256,0.01897190624083
"NISCH",7.1916920553734e-07,-0.162509299511129,0.082,0.1,0.0191493184358428
"CCL5",7.26221214930082e-07,0.13319967584938,0.737,0.708,0.0193370922899433
"SNRNP200",8.36609451158832e-07,-0.117044375688216,0.281,0.313,0.0222763998560062
"CD84",8.37393808839915e-07,-0.105726316916709,0.241,0.269,0.0222972849479804
"RFC1",8.85695766057245e-07,-0.130405978112599,0.26,0.291,0.0235834211628063
"ANAPC5",9.23513620935911e-07,-0.138783616805644,0.305,0.339,0.0245903971846605
"WWP1",9.76705769747127e-07,-0.105582613989997,0.184,0.209,0.0260067445310567
"PRKCB",1.02368965193356e-06,-0.107381175160973,0.361,0.389,0.027257784362035
"CYLD",1.05821757870662e-06,-0.11208292451553,0.362,0.397,0.0281771594682211
"HLA-DRB5",1.06768002707529e-06,0.809015172052038,0.311,0.316,0.0284291160809338
"DCAF6",1.11420618928502e-06,-0.107473297959369,0.097,0.117,0.0296679682020923
"MIR4435-2HG",1.11457738663119e-06,-0.11305012235661,0.171,0.196,0.0296778520738288
"NDEL1",1.14645382224066e-06,-0.133804855401593,0.207,0.231,0.030526625924802
"PFKFB3",1.30128337005663e-06,-0.355132516993891,0.191,0.207,0.034649272294498
"DOCK11",1.30921114372648e-06,-0.117132100577695,0.208,0.233,0.0348603651240049
"EWSR1",1.39418272550425e-06,-0.129311074028609,0.433,0.467,0.0371229034320016
