"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PRDX1",0.0834565986759133,0.163571748334426,0.552,0.484,1
"IL6",0.0836916426605381,0.276921066800632,0.103,0.056,1
"ROMO1",0.0838447672519417,-0.122808803987445,0.255,0.333,1
"CHD1",0.0838624572699913,-0.260782297403227,0.457,0.556,1
"DEK",0.0838713945705444,-0.210581487741518,0.425,0.5,1
"PSMB8-AS1",0.0839158507110097,0.282799926839556,0.319,0.278,1
"HECTD1",0.0839412892339889,-0.13691201698083,0.216,0.294,1
"YBX1",0.084413153454984,-0.188644484351173,0.802,0.849,1
"CYP51A1",0.084510491505706,-0.126490806725727,0.223,0.302,1
"ATPAF1",0.0847328420962058,0.155491235445348,0.101,0.056,1
"MRPS9",0.0850568763970178,-0.130567648510411,0.102,0.151,1
"COL19A1",0.0856561672766688,-0.213573059862787,0.306,0.23,1
"TFDP2",0.0859629897412753,-0.130831123218848,0.095,0.143,1
"ITCH",0.0863546504038905,-0.12716418090811,0.168,0.23,1
"LRIF1",0.0865193977219671,0.169299789254391,0.195,0.135,1
"MYH9",0.0866213181828294,-0.292690481729276,0.552,0.643,1
"PGD",0.0869062957326824,0.142707945141344,0.103,0.056,1
"ADIPOR2",0.087008346177928,-0.106877118125293,0.076,0.119,1
"SAMD9L",0.0870402082770321,-0.195034891262738,0.173,0.238,1
"LPXN",0.0871726879533504,-0.155017014210114,0.251,0.333,1
"PPP2R5C",0.0871953738473091,-0.149381435633108,0.231,0.31,1
"LPAR5",0.087281060301213,0.195744529020955,0.138,0.087,1
"ELP3",0.0875783295713438,-0.111878314881456,0.083,0.127,1
"OTUB1",0.0876558577870613,0.26913069717868,0.314,0.262,1
"LONP2",0.0876664260827491,-0.368205575136826,0.19,0.254,1
"WDR43",0.0877608478828299,-0.15566665397938,0.188,0.254,1
"SRP72",0.0879716875190692,-0.191352665728619,0.236,0.302,1
"ZNF106",0.0879988559385703,-0.122507547734367,0.226,0.302,1
"ZFYVE16",0.0880072049754942,-0.1379141194273,0.095,0.143,1
"CNTRL",0.0883432883420182,-0.201679233954129,0.309,0.389,1
"HINT1",0.0888248393257718,0.168385591813362,0.86,0.841,1
"PTK2",0.0895692812302232,0.16100789037754,0.113,0.063,1
"BAG1",0.0897449285112118,0.139929800131035,0.2,0.143,1
"WDR83OS",0.0898813203945712,0.124973285300122,0.424,0.365,1
"TMEM87B",0.0898906455816345,0.228379572873152,0.153,0.103,1
"RSBN1L",0.0900699551953327,0.259825380754984,0.4,0.365,1
"SCAND1",0.090207207382183,0.250960220548693,0.296,0.246,1
"PMF1",0.0902877202155628,0.19057768687664,0.171,0.119,1
"LST1",0.0905691336972599,0.206209474162581,0.127,0.079,1
"FNBP4",0.0905783328936657,-0.192323037396162,0.436,0.54,1
"ARPC3",0.0906283331828473,0.153177319324401,0.895,0.897,1
"VPS37B",0.0908726128566837,-0.455785599350943,0.418,0.476,1
"KLF13",0.0913039869894571,0.267197448760414,0.372,0.325,1
"THOC1",0.0914947071062277,-0.100774152908632,0.095,0.143,1
"DNM1L",0.0915680304179314,-0.119450660383696,0.136,0.19,1
"CTBP1",0.0915736061903026,0.2541102925866,0.255,0.198,1
