"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PRPF38B",0.725856504248283,0.110771896677438,0.187,0.208,1
"FMO2",0.727458568745999,0.362662080802247,0.101,0.097,1
"PPFIBP1",0.732345221946825,0.179849008360455,0.152,0.169,1
"FERMT2",0.736686148754049,0.141716379240723,0.148,0.164,1
"CYB5R3",0.741470736043241,0.431188996550059,0.144,0.144,1
"PPP6R2",0.742064155331777,0.20190286705112,0.105,0.1,1
"IGFBP7",0.742927470681462,0.196574579057073,0.537,0.625,1
"ATP6V0C",0.744966457622596,0.107010262436126,0.105,0.117,1
"CNBP",0.747047341534033,0.200898286797787,0.179,0.175,1
"RRBP1",0.747652527679285,0.19404930482864,0.125,0.142,1
"CANX",0.748984712084847,0.163412438456035,0.128,0.122,1
"ATRX",0.755704828007346,0.223071620445957,0.307,0.353,1
"NRDC",0.763437866307952,0.235969390000409,0.148,0.167,1
"FRYL",0.763667774632438,0.217971799857319,0.167,0.189,1
"YPEL3",0.765270029102372,0.16383414928309,0.144,0.158,1
"C11orf58",0.768427627382207,0.282988221628151,0.183,0.183,1
"MT1E",0.768515760799191,0.233626406940853,0.113,0.125,1
"KLHL24",0.773305890807481,0.114311433246455,0.125,0.136,1
"RPL36A",0.773783530500167,0.183132752648955,0.175,0.175,1
"GUK1",0.774944299956644,0.37886165505552,0.144,0.142,1
"OAZ1",0.776161713905566,0.317552337182502,0.187,0.192,1
"LNPEP",0.777254650534685,0.365931699899361,0.128,0.128,1
"ZNF148",0.777897933159971,0.155970517949906,0.14,0.156,1
"HLA-E",0.777985422904345,0.395046471632423,0.195,0.2,1
"USP47",0.778945437698952,0.247137271125839,0.144,0.164,1
"YWHAE",0.779260473192121,0.358329429590622,0.117,0.114,1
"RAPH1",0.779885552806735,0.23265652699817,0.136,0.153,1
"HLA-A",0.780616056091994,0.147364956202584,0.261,0.297,1
"EIF4H",0.784339358333498,0.131484868766966,0.109,0.119,1
"CCDC50",0.787583022444908,0.430644355037055,0.132,0.133,1
"EIF3F",0.790892907218164,0.160231948249106,0.125,0.119,1
"MAML2",0.799655249026027,0.203829339103192,0.214,0.242,1
"ATP5PB",0.800117937552719,0.268433298130163,0.109,0.106,1
"RAC1",0.8026300319585,0.404459721813677,0.179,0.186,1
"FNDC3B",0.802991122358153,0.356219907693174,0.152,0.153,1
"KIF1B",0.803020531195708,0.144589797593651,0.093,0.103,1
"NDUFA10",0.803152950141467,0.221557037503774,0.128,0.144,1
"SEC62",0.804070384042787,0.160700696532372,0.14,0.153,1
"PCYOX1",0.805243424601574,0.35095691262052,0.117,0.131,1
"SLF2",0.806723550710408,0.170093356153935,0.109,0.106,1
"PTEN",0.809619560452245,0.149816136473883,0.319,0.364,1
